param_name,2024款 单电机,2024款 双电机四驱,2024款 双电机四驱旗舰,2024款 双电机四驱高性能旗舰
CLTC纯电续航里程(km),551,618,645,618
上市,2023.12,2023.12,2023.12,2023.12
制动器类型,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子
厂商指导价,37.68,35.63,29.03,30.73
变速箱类型,变速箱,变速箱,变速箱,变速箱
后备厢(L),432,432,432,432
后电动机最大功率(kW),180,160,168,160
后电动机最大扭矩(N·m),350,350,350,350
官方0-100km/h加速(s),3.9,5.5,7.8,5.5
对外放电功率(kW),350,350,350,350
对外放电最低允许值(%),20,20,20,20
座位数(个),5,5,5,5
最大功率(kW),360,234,168,234
最大扭矩(N·m),700,605,350,605
最大满载(kg),2640,2595,2475,2595
最小转弯半径(m),5.97,5.97,5.97,5.97
最高车速(km/h),235,200,185,200
满载最小(mm),160,160,160,160
电动机(Ps),纯电动 490马力,纯电动 318马力,纯电动 228马力,纯电动 318马力
电动机总功率(kW),360,234,168,234
电动机总扭矩(N·m),700,605,350,605
电动机总马力(Ps),490,318,228,318
电动机最大功率(kW),180,74,-,74
电动机最大扭矩(N·m),350,255,-,255
电机类型,/,/,/,/
电池(小时),0.3,0.3,0.3,0.3
电池冷却方式,液冷,液冷,液冷,液冷
电池类型,三,三,三,三
电池能量(kWh),76.4,76.4,76.4,76.4
电池范围(%),80,80,80,80
电能当量燃料消耗量(L/100km),1.81,1.71,1.53,1.71
百公里耗(kWh/100km),16,14.2,13.5,14.2
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价
能源类型,纯电动,纯电动,纯电动,纯电动
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门
轮距(mm),-,-,-,-
长*宽*高(mm),4515*1890*1595,4515*1890*1595,4515*1890*1595,4515*1890*1595
阻系数(Cd),0.29,0.29,0.29,0.29
