param_name,2020款 纯电厢式物流车电池,2020款 纯电厢式物流车电池不
(ASR/TCS/TRC等),-,-
/头部(气帘),-,-
NEDC纯电续航里程(km),270,270
OTA级,-,-
USB/Type-C数量,-,-
三电系统,待查,待查
上市,2020.09,2020.09
中控屏幕尺寸,-,-
中控彩色屏幕,-,-
主/副驾驶座安全,-,-
主/副驾驶座电动,-,-
主动刹车/主动安全系统,-,-
主座椅方式,后 靠背,后 靠背
内后视镜功能,-,-
制动类型,-,-
刹车辅助(EBA/BAS/BA等),-,-
副座椅方式,后 靠背,后 靠背
卫星航系统,-,-
厂商指导价,10.78,11.08
变速箱类型,变速箱,变速箱
后备厢(L),-,-
后电动机最大功率(kW),60,60
后电动机最大扭矩(N·m),220,220
后雨刷,-,-
启动系统,-,-
外后视镜功能,-,-
多功能方向盘,-,-
多媒体/充电,USB AUX,USB AUX
天窗类型,-,-
安全带未系提醒,-,-
官方0-100km/h加速(s),-,-
巡航系统,-,-
座位数(个),2,2
座椅形式,-,-
总功率： 60 kW,续航里程：,座位数： 2座
感应雨刷功能,-,-
手机互联/映射,-,-
手机无线充电功能,-,-
排座椅功能,-,-
方向盘位置,-,-
最大功率(kW),60,60
最大扭矩(N·m),220,220
最大满载(kg),-,-
最小(mm),125,125
最高车速(km/h),90,90
液晶仪表尺寸,-,-
温度分区控制,-,-
电动座椅记忆功能,-,-
电动机(Ps),82,82
电动机总功率(kW),60,60
电动机总扭矩(N·m),220,220
电机类型,/,/
电池(小时),1.5,1.5
电池能量(kWh),43.2,43.2
百公里耗(kWh/100km),20,20
空调温度控制方式,手动空调,手动空调
第二排座椅,-,-
经销商参考价,暂无报价,暂无报价
胎压监测功能,-,-
能源类型,纯电动,纯电动
语音识别控制系统,-,-
车体结构,未知,未知
车内化妆镜,-,-
车内环境氛围灯,-,-
车窗一键降功能,-,-
车窗防夹手功能,-,-
车联网,-,-
车身控制(ESC/ESP/DSC等),-,-
车身结构,货车,货车
车道保持辅助系统,-,-
车道偏离系统,-,-
车门开启方式,-,-
辅助泊车入位,-,-
进入功能,-,-
钥匙类型,遥控钥匙,遥控钥匙
长*宽*高(mm),4490×1610×1900,4490×1610×1900
阻系数(Cd),-,-
驾驶辅助,-,-
