param_name,车型1_33.98,车型2_35.98,车型3_36.98,车型4_33.98,车型5_35.98,车型6_36.98
/头部(气帘),-,/ 后,/ 后,-,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G
CLTC纯电续航里程(km),-,-,-,410,410,410
NEDC(L/100km),1.5,1.5,1.5,-,-,-
NEDC纯电续航里程(km),120,120,120,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),2.12,2.12,2.12,-,-,-
三电系统,八20公里,八20公里,八20公里,八20公里,八20公里,八20公里
上市,2022.10,2022.10,2022.10,2022.10,2022.10,2022.10
中控屏幕尺寸,11.8英寸,11.8英寸,11.8英寸,11.8英寸,11.8英寸,11.8英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副-,主 / 副-,主 / 副-,主 / 副-,主 / 副-,主 / 副-
主/副驾驶座电动,-,主 / 副,主 / 副,-,主 / 副,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,手动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目,手动防眩目,手动防眩目 自动防眩目,手动防眩目 自动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子
副座椅方式,-,后 靠背 高低(2向),后 靠背 高低(2向),-,后 靠背 高低(2向),后 靠背 高低(2向)
厂商指导价,33.98,35.98,36.98,33.98,35.98,36.98
发动机,增程式 163马力,增程式 163马力,增程式 163马力,纯电动,纯电动,纯电动
发动机型,JLH-3G15TDF,JLH-3G15TDF,JLH-3G15TDF,-,-,-
发动机布局,横置,横置,横置,-,-,-
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),-,-,-,-,-,-
后电动机最大功率(kW),120,120,120,120,120,120
后电动机最大扭矩(N·m),240,240,240,240,240,240
地图品牌,高德,高德,高德,高德,高德,高德
外后视镜功能,电动 后视镜,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 后视镜,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB,USB,USB,USB,USB,USB
天窗类型,-,不可开启全景天窗,不可开启全景天窗,-,不可开启全景天窗,不可开启全景天窗
官方0-100km/h加速(s),-,-,-,-,-,-
巡航系统,-,全速自应巡航,全速自应巡航,-,-,-
座位数(个),7,5,7,7,5,7
座椅布局,1-3-3,-,2-2-3,1-3-3,-,2-2-3
座椅形式,-,-,-,-,-,-
感应雨刷功能,-,雨量感应式,雨量感应式,-,雨量感应式,雨量感应式
手机互联/映射,原厂互联/映射,原厂互联/映射,原厂互联/映射,原厂互联/映射,原厂互联/映射,原厂互联/映射
手机无线充电功能,-,-,-,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
接近角(°),16,16,16,16,16,16
方向盘位置,手动,手动,手动,手动,手动,手动
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色
最低荷电状态(L/100km),7.3,7.3,7.3,-,-,-
最大净功率(kW),100,100,100,-,-,-
最大功率(kW),120,120,120,120,120,120
最大功率转速(rpm),-,-,-,-,-,-
最大扭矩(N·m),240,240,240,240,240,240
最大扭矩转速(rpm),-,-,-,-,-,-
最大满载(kg),2735,2735,2735,2575,2575,2575
最大马力(Ps),163,163,163,-,-,-
最高车速(km/h),140,140,140,130,130,130
每缸(个),4,4,4,-,-,-
液晶仪表尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
环保标准,国VI,国VI,国VI,-,-,-
电动座椅记忆功能,-,-,-,-,-,-
电动机(Ps),163,163,163,163,163,163
电动机总功率(kW),120,120,120,120,120,120
电动机总扭矩(N·m),240,240,240,240,240,240
电动机总马力(Ps),163,163,163,163,163,163
电机类型,/,/,/,/,/,/
电池类型,三,三,三,三,三,三
电池能量(kWh),26,26,26,66.6,66.6,66.6
电池能量密度(Wh/kg),-,-,-,174,174,174
电能当量燃料消耗量(L/100km),2,2,2,1.99,1.99,1.99
电芯品牌,力神动力,力神动力,力神动力,宁德时代 国轩高科,宁德时代 国轩高科,宁德时代 国轩高科
百公里耗(kWh/100km),18,18,18,17.6,17.6,17.6
离去角(°),19,19,19,19,19,19
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,-,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,增程式,增程式,增程式,纯电动,纯电动,纯电动
语音分区域唤醒识别,单区域,单区域,单区域,单区域,单区域,单区域
语音识别控制系统,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调,多媒体系统 航 空调
超声波雷达数量,4个,10个,10个,4个,10个,10个
车内环境氛围灯,-,-,-,-,-,-
车窗一键降功能,全车,全车,全车,全车,全车,全车
车身结构,4门7座,4门5座,4门7座,4门7座,4门5座,4门7座
车道保持辅助系统,-,-,-,-,-,-
车门开启方式,对开门,对开门,对开门,对开门,对开门,对开门
轮距(mm),1620,1620,1620,1620,1620,1620
辅助泊车入位,-,-,-,-,-,-
进入功能,-,-,-,-,-,-
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880
阻系数(Cd),-,-,-,-,-,-
驾驶辅助,倒车,360度全景,360度全景,倒车,360度全景,360度全景
