param_name,车型1_25.68,车型2_29.78
/头部(气帘),/ 后,/ 后
4G/5G网络,4G,4G
NEDC(L/100km),1.1,1.2
NEDC纯电续航里程(km),95,87
USB/Type-C数量,排3个/2个,排3个/2个
WLTC(L/100km),1.46,1.64
WLTC纯电续航里程(km),78,73
三电系统,八20公里,八20公里
上市,2024.09,2024.09
中控屏幕尺寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(2向),后 靠背 高低(4向) 腰部(2向)
内后视镜功能,手动防眩目,自动防眩目 流媒体
制动器类型,通盘式,通盘式
制动类型,电子,电子
副座椅方式,后 靠背,后 靠背
厂商指导价,25.68,29.78
发动机,2.5L 180马力 L4,2.5L 180马力 L4
发动机型,A25F,A25F
发动机布局,横置,横置
发动机特有技术,VVT-iE、VVT-i,VVT-iE、VVT-i
变速箱,E-CVT无级变速,E-CVT无级变速
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
后备厢(L),580,580
后电动机最大功率(kW),-,40
后电动机最大扭矩(N·m),-,121
地图品牌,高德,高德
外后视镜功能,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠
多媒体/充电,USB Type-C,USB Type-C
天窗类型,电动天窗,可开启全景天窗
安全带未系提醒,全车,全车
官方0-100km/h加速(s),9.1,7.4
巡航系统,全速自应巡航,全速自应巡航
座位数(个),5,5
感应雨刷功能,-,-
手机APP远程功能,车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修,车门控制 车况查询/诊断 车辆定位/寻车 预约保养/维修
手机互联/映射,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar
手机无线充电功能,-,排
换挡形式,挡把换挡,挡把换挡
接近角(°),17,17
放置方式,后备厢内,后备厢内
方向盘位置,手动+后,手动+后
显示屏幕,彩色,彩色
最低荷电状态(L/100km)WLTC,5.26,5.59
最大净功率(kW),132,132
最大功率(kW),194,225
最大功率转速(rpm),6000,6000
最大扭矩(N·m),-,-
最大扭矩转速(rpm),3600-3700,3600-3700
最大满载(kg),2435,2510
最大马力(Ps),180,180
最小转弯半径(m),5.5,5.5
最高车速(km/h),180,180
每缸(个),4,4
毫米波雷达数量,1个,1个
液晶仪表尺寸,12.3英寸,12.3英寸
环保标准,国VI,国VI
电动座椅记忆功能,-,-
电动机(Ps),182,237
电动机品牌,爱信,爱信
电动机总功率(kW),134,174
电动机总扭矩(N·m),270,391
电动机总马力(Ps),182,237
电动机最大功率(kW),134,134
电动机最大扭矩(N·m),270,270
电机类型,/,/
电池(小时),9.5,9.5
电池冷却方式,液冷,液冷
电池类型,三,三
电池能量(kWh),15.984,15.984
电能当量燃料消耗量(L/100km),1.57,1.6
电芯品牌,新中源,新中源
百公里耗(kWh/100km),13.9,14.5
离去角(°),20,20
空调温度控制方式,自动空调,自动空调
第二排座椅,靠背,靠背
系统功率(Ps),264,306
系统功率(kW),194,225
经销商参考价,25.68万起,29.78万起
胎压监测功能,胎压显示,胎压显示
能源类型,插电式混合动力,插电式混合动力
语音分区域唤醒识别,单区域,单区域
语音助手唤醒词,你好，,你好，
语音识别控制系统,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗
超声波雷达数量,-,8个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,-,-
车窗一键降功能,全车,全车
车身结构,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门
轮距(mm),1605,1595
辅助泊车入位,-,-
辅助驾驶等级,L2,L2
辅助驾驶系统,Toyota Safety Sense,Toyota Safety Sense
进入功能,排,排
钥匙类型,遥控钥匙,遥控钥匙 钥匙
长*宽*高(mm),4600*1855*1685,4600*1855*1685
阻系数(Cd),-,-
驱动方式,置驱,置四驱
驱动方式：,两驱,四驱
驾驶辅助,360度全景,360度全景
